id,city,pop,lat,long
1,Paris,2107700,48.86,2.34
2,Marseille,826300,43.31,5.37
3,Lyon,443600,45.76,4.83
4,Toulouse,417400,43.62,1.45
5,Nice,329800,43.7,7.27
6,Nantes,285700,47.23,-1.57
7,Strasbourg,274700,48.58,7.76
8,Montpellier,231900,43.61,3.87
9,Bordeaux,217400,44.84,-0.58
10,Rennes,214200,48.11,-1.68
11,Le havre,189000,49.5,0.12
12,Reims,183900,49.25,4.03
13,Lille,180100,50.64,3.07
14,Saint-etienne,168600,45.43,4.39
15,Toulon,161600,43.13,5.92
16,Grenoble,156200,45.19,5.72
17,Angers,153800,47.48,-0.54
18,Brest,152000,48.39,-4.5
19,Le mans,149300,48,0.2
20,Dijon,146400,47.33,5.03
21,Aix-en-provence,139000,43.53,5.44
22,Clermont-ferrand,137300,45.78,3.08
23,Nimes,137200,43.84,4.35
24,Amiens,135800,49.9,2.3
25,Tours,133700,47.38,0.69
26,Limoges,131900,45.83,1.25
27,Metz,125300,49.12,6.18
28,Villeurbanne,121800,45.77,4.88
29,Besancon,118300,47.24,6.02
30,Caen,116800,49.19,-0.36
31,Orleans,112200,47.9,1.9
32,Mulhouse,111500,47.76,7.34
33,Perpignan,111400,42.7,2.89
34,Boulogne-billancourt,108500,48.83,2.24
35,Rouen,105100,49.44,1.08
36,Nancy,103100,48.69,6.17
37,Roubaix,95800,50.69,3.17
38,Tourcoing,92400,50.72,3.16
39,Argenteuil,90300,48.94,2.24
40,Avignon,87100,43.96,4.81
41,Montreuil,86600,48.86,2.43
42,Nanterre,86100,48.9,2.2
43,Poitiers,85900,46.58,0.34
44,Saint-denis,82000,48.94,2.36
45,Versailles,81200,48.81,2.14
46,Creteil,79700,48.79,2.45
47,Pau,79600,43.3,-0.39
48,La rochelle,79400,46.17,-1.18
49,Colombes,78400,48.93,2.25
50,Asnieres-sur-seine,77400,48.91,2.29
51,Calais,77200,50.95,1.86
52,Aulnay-sous-bois,76500,48.96,2.49
53,Vitry-sur-seine,76300,48.79,2.39
54,Rueil-malmaison,75000,48.89,2.17
55,Champigny-sur-marne,72000,48.82,2.51
56,Beziers,71200,43.35,3.21
57,Saint-maur-des-fosses,70900,48.8,2.49
58,Dunkerque,70400,51.04,2.34
59,Antibes,70100,43.6,7.12
60,Saint-nazaire,70000,47.28,-2.22
